Date,daily runoff
2025-01-03,1.5209651
2025-01-04,1.5602363
2025-01-05,1.5584611
2025-01-06,1.5546471
2025-01-07,1.5734681
2025-01-08,1.5834666
2025-01-09,1.5989782
2025-01-10,1.6021202
2025-01-11,1.6325395
2025-01-12,1.6219541
2025-01-13,1.6093627
2025-01-14,1.6194246
2025-01-15,1.6206625
2025-01-16,1.6273881
2025-01-17,1.6216943
2025-01-18,1.6432012
2025-01-19,1.6236014
2025-01-20,1.6018717
2025-01-21,1.6026529
2025-01-22,1.5944558
2025-01-23,1.5915878
2025-01-24,1.5761454
2025-01-25,1.5877635
2025-01-26,1.5581597
2025-01-27,1.5263475
2025-01-28,1.5170153
2025-01-29,1.4987341
2025-01-30,1.4858812
2025-01-31,1.4606342
2025-02-01,1.4627172
2025-02-02,1.4239441
2025-02-03,1.3834301
2025-02-04,1.3659687
2025-02-05,1.3402361
2025-02-06,1.3207132
2025-02-07,1.2896763
2025-02-08,1.2869409
2025-02-09,1.2444026
2025-02-10,1.2012455
2025-02-11,1.1823175
2025-02-12,1.1563314
2025-02-13,1.1377875
2025-02-14,1.10896
2025-02-15,1.1096426
2025-02-16,1.0716879
2025-02-17,1.0342155
2025-02-18,1.021988
2025-02-19,1.0036153
2025-02-20,0.9934752
2025-02-21,0.9737061
2025-02-22,0.98395187
2025-02-23,0.9559055
2025-02-24,0.9285208
2025-02-25,0.9263919
2025-02-26,0.9179599
2025-02-27,0.91743916
2025-02-28,0.90681165
2025-03-01,0.92557645
2025-03-02,0.9052969
2025-03-03,0.88481426
2025-03-04,0.88863045
2025-03-05,0.8851164
2025-03-06,0.8884401
2025-03-07,0.88056195
2025-03-08,0.90098435
2025-03-09,0.8812986
2025-03-10,0.86039793
2025-03-11,0.86285865
2025-03-12,0.85714614
2025-03-13,0.857541
2025-03-14,0.84613067
2025-03-15,0.8625563
2025-03-16,0.83855563
2025-03-17,0.8131725
2025-03-18,0.81113386
2025-03-19,0.8010523
2025-03-20,0.7973479
2025-03-21,0.7822372
2025-03-22,0.79547614
2025-03-23,0.7689008
2025-03-24,0.7416345
2025-03-25,0.73846275
2025-03-26,0.7280354
2025-03-27,0.72478753
2025-03-28,0.7109285
2025-03-29,0.7261863
2025-03-30,0.70234877
2025-03-31,0.67847294
2025-04-01,0.67926306
2025-04-02,0.6732746
2025-04-03,0.67483854
2025-04-04,0.6660545
2025-04-05,0.6865373
2025-04-06,0.6679631
2025-04-07,0.6492814
2025-04-08,0.65509623
2025-04-09,0.6538738
2025-04-10,0.6598691
2025-04-11,0.65512055
2025-04-12,0.6791996
2025-04-13,0.66375655
2025-04-14,0.6477339
2025-04-15,0.6557472
2025-04-16,0.65629166
2025-04-17,0.6636677
2025-04-18,0.6599739
2025-04-19,0.6848538
2025-04-20,0.6700392
2025-04-21,0.65456
2025-04-22,0.66312253
2025-04-23,0.66431177
2025-04-24,0.6725141
2025-04-25,0.6699063
2025-04-26,0.6961994
2025-04-27,0.68317926
2025-04-28,0.669914
2025-04-29,0.6811296
2025-04-30,0.68541163
2025-05-01,0.6971265
2025-05-02,0.69841087
2025-05-03,0.7289154
2025-05-04,0.720347
2025-05-05,0.7116778
2025-05-06,0.7275232
2025-05-07,0.7363466
2025-05-08,0.7523841
2025-05-09,0.7576373
2025-05-10,0.79162174
2025-05-11,0.78591245
2025-05-12,0.7793579
2025-05-13,0.79646164
2025-05-14,0.8055909
2025-05-15,0.8209049
