Date,flood runoff
2019-08-07,5.162228
2019-08-08,5.3225746
2019-08-09,5.393183
2019-08-10,5.5087805
2019-08-11,5.63542
2019-08-12,5.741921
2019-08-13,5.7820964
2019-08-14,5.7306285
2019-08-15,5.8479238
2019-08-16,5.865799
2019-08-17,5.9189887
2019-08-18,5.9737825
2019-08-19,5.9994636
2019-08-20,5.9505386
2019-08-21,5.8026066
2019-08-22,5.8171964
2019-08-23,5.72744
2019-08-24,5.66955
2019-08-25,5.6114316
2019-08-26,5.5240865
2019-08-27,5.363807
2019-08-28,5.1080046
2019-08-29,5.02001
2019-08-30,4.834703
2019-08-31,4.689951
2019-09-01,4.5551805
2019-09-02,4.402749
2019-09-03,4.1901026
2019-09-04,3.8955767
2019-09-05,3.7831767
2019-09-06,3.5881858
2019-09-07,3.4485962
2019-09-08,3.3336735
2019-09-09,3.2153304
2019-09-10,3.0502968
2019-09-11,2.8159313
2019-09-12,2.7750251
2019-09-13,2.6614373
2019-09-14,2.6115563
2019-09-15,2.592901
2019-09-16,2.575535
2019-09-17,2.5142748
2019-09-18,2.3845472
2019-09-19,2.4472349
2019-09-20,2.4343529
2019-09-21,2.4805515
2019-09-22,2.551754
2019-09-23,2.6166043
2019-09-24,2.628703
2019-09-25,2.5624912
2019-09-26,2.6781096
2019-09-27,2.7070901
2019-09-28,2.7838619
2019-09-29,2.8743882
2019-09-30,2.9476066
2019-10-01,2.9576514
2019-10-02,2.879716
2019-10-03,2.9748912
2019-10-04,2.9758248
2019-10-05,3.0181963
2019-10-06,3.0693202
2019-10-07,3.0995457
2019-10-08,3.064446
2019-10-09,2.9406404
2019-10-10,2.9905984
2019-10-11,2.948264
2019-10-12,2.9505005
2019-10-13,2.9656656
2019-10-14,2.9649906
2019-10-15,2.904749
2019-10-16,2.7620687
2019-10-17,2.7997267
2019-10-18,2.7517734
2019-10-19,2.7549813
2019-10-20,2.777429
2019-10-21,2.7898953
2019-10-22,2.7480445
2019-10-23,2.6282637
2019-10-24,2.6924806
2019-10-25,2.673817
2019-10-26,2.708067
2019-10-27,2.762309
2019-10-28,2.8063312
2019-10-29,2.794846
2019-10-30,2.703352
2019-10-31,2.7929778
2019-11-01,2.796156
2019-11-02,2.848118
2019-11-03,2.915521
2019-11-04,2.9678802
2019-11-05,2.9597888
2019-11-06,2.8667784
2019-11-07,2.9501598
2019-11-08,2.9426856
2019-11-09,2.9800332
2019-11-10,3.0294151
2019-11-11,3.0609913
2019-11-12,3.0300682
2019-11-13,2.9129362
2019-11-14,2.9716845
2019-11-15,2.9398427
2019-11-16,2.953837
2019-11-17,2.9815805
2019-11-18,2.9938648
2019-11-19,2.9465408
2019-11-20,2.8163414
2019-11-21,2.8656855
2019-11-22,2.828311
2019-11-23,2.840729
2019-11-24,2.8708112
2019-11-25,2.8891883
2019-11-26,2.851436
2019-11-27,2.7339094
2019-11-28,2.798562
2019-11-29,2.778592
2019-11-30,2.8099186
2019-12-01,2.8597856
2019-12-02,2.8981812
2019-12-03,2.880046
2019-12-04,2.7811253
2019-12-05,2.862808
2019-12-06,2.85779
2019-12-07,2.901564
2019-12-08,2.9610372
2019-12-09,3.0059607
2019-12-10,2.991141
2019-12-11,2.8922982
2019-12-12,2.9709003
2019-12-13,2.959827
2019-12-14,2.9948487
2019-12-15,3.0432365
2019-12-16,3.075176
2019-12-17,3.045967
2019-12-18,2.9318628
2019-12-19,2.9948885
2019-12-20,2.9684846
2019-12-21,2.9889696
2019-12-22,3.024132
2019-12-23,3.044626
2019-12-24,3.006159
2019-12-25,2.8853147
2019-12-26,2.9443648
