Date,weekly runoff
2019-08-07,4.3943067
2019-08-08,4.686626
2019-08-09,4.9815197
2019-08-10,5.274219
2019-08-11,5.560814
2019-08-12,5.836792
2019-08-13,6.0951476
2019-08-14,6.3329105
2019-08-15,6.550615
2019-08-16,6.741685
2019-08-17,6.9023695
2019-08-18,7.030529
2019-08-19,7.1241465
2019-08-20,7.17939
2019-08-21,7.1970663
2019-08-22,7.1820107
2019-08-23,7.1323686
2019-08-24,7.049418
2019-08-25,6.9362297
2019-08-26,6.7960525
2019-08-27,6.6302385
2019-08-28,6.444567
2019-08-29,6.248507
2019-08-30,6.044369
2019-08-31,5.8370275
2019-09-01,5.6324763
2019-09-02,5.436138
2019-09-03,5.250726
2019-09-04,5.082526
2019-09-05,4.9406376
2019-09-06,4.826135
2019-09-07,4.7418065
2019-09-08,4.690763
2019-09-09,4.674808
2019-09-10,4.692391
2019-09-11,4.7449894
2019-09-12,4.836469
2019-09-13,4.96237
2019-09-14,5.119781
2019-09-15,5.3060923
2019-09-16,5.5175004
2019-09-17,5.7471037
2019-09-18,5.9914107
2019-09-19,6.2498207
2019-09-20,6.5140195
2019-09-21,6.777945
2019-09-22,7.0366087
2019-09-23,7.2846603
2019-09-24,7.5145063
2019-09-25,7.722835
2019-09-26,7.910082
2019-09-27,8.069789
2019-09-28,8.198518
2019-09-29,8.294596
2019-09-30,8.35659
2019-10-01,8.38132
2019-10-02,8.370265
2019-10-03,8.328903
2019-10-04,8.255942
2019-10-05,8.153101
2019-10-06,8.02372
2019-10-07,7.8711176
2019-10-08,7.6964803
2019-10-09,7.5051694
2019-10-10,7.3059697
2019-10-11,7.1002455
2019-10-12,6.8916616
2019-10-13,6.6847677
2019-10-14,6.4833283
2019-10-15,6.2882247
2019-10-16,6.1037807
2019-10-17,5.937057
2019-10-18,5.7870655
2019-10-19,5.6545706
2019-10-20,5.540757
2019-10-21,5.445666
2019-10-22,5.366202
2019-10-23,5.302572
2019-10-24,5.257692
2019-10-25,5.226521
2019-10-26,5.205962
2019-10-27,5.1936393
2019-10-28,5.186415
2019-10-29,5.178484
2019-10-30,5.167872
2019-10-31,5.1558933
2019-11-01,5.13651
2019-11-02,5.106253
2019-11-03,5.062993
2019-11-04,5.0044384
2019-11-05,4.9261866
2019-11-06,4.8281803
2019-11-07,4.714091
2019-11-08,4.580608
2019-11-09,4.4272747
2019-11-10,4.2551656
2019-11-11,4.0652924
2019-11-12,3.856563
2019-11-13,3.6321397
2019-11-14,3.3987393
2019-11-15,3.1558397
2019-11-16,2.9054432
2019-11-17,2.6506941
2019-11-18,2.394237
2019-11-19,2.13614
2019-11-20,1.8802323
2019-11-21,1.6334021
2019-11-22,1.3948076
2019-11-23,1.1656668
2019-11-24,0.947909
2019-11-25,0.74258083
2019-11-26,0.5478268
2019-11-27,0.3652928
2019-11-28,0.19949381
2019-11-29,0.04710146
2019-11-30,0.09319136
2019-12-01,0.221943
2019-12-02,0.3404845
2019-12-03,0.4528727
2019-12-04,0.55942684
2019-12-05,0.65730953
2019-12-06,0.7511985
2019-12-07,0.84339195
2019-12-08,0.93506336
2019-12-09,1.0277765
2019-12-10,1.1254445
2019-12-11,1.2278843
2019-12-12,1.3314251
2019-12-13,1.439618
2019-12-14,1.5533874
2019-12-15,1.6723378
2019-12-16,1.796326
2019-12-17,1.9274815
2019-12-18,2.0638192
2019-12-19,2.1999102
2019-12-20,2.337648
2019-12-21,2.4764514
2019-12-22,2.6146176
2019-12-23,2.7509334
2019-12-24,2.8867247
2019-12-25,3.01949
2019-12-26,3.1435816
