Date,weekly runoff
2019-08-20,35.8395
2019-08-21,35.44583
2019-08-22,35.0038
2019-08-23,34.5082
2019-08-24,33.96845
2019-08-25,33.39115
2019-08-26,32.782825
2019-08-27,32.141632
2019-08-28,31.485773
2019-08-29,30.82538
2019-08-30,30.15502
2019-08-31,29.48315
2019-09-01,28.814796
2019-09-02,28.154268
2019-09-03,27.49701
2019-09-04,26.858042
2019-09-05,26.243986
2019-09-06,25.645605
2019-09-07,25.067406
2019-09-08,24.510359
2019-09-09,23.974749
2019-09-10,23.452078
2019-09-11,22.953623
2019-09-12,22.482485
2019-09-13,22.026241
2019-09-14,21.586561
2019-09-15,21.161997
2019-09-16,20.750837
2019-09-17,20.343048
2019-09-18,19.948824
2019-09-19,19.570633
2019-09-20,19.19585
2019-09-21,18.82635
2019-09-22,18.461252
2019-09-23,18.099743
2019-09-24,17.732956
2019-09-25,17.372469
2019-09-26,17.022305
2019-09-27,16.671482
2019-09-28,16.323572
2019-09-29,15.97938
2019-09-30,15.6397085
2019-10-01,15.297196
2019-10-02,14.964773
2019-10-03,14.647616
2019-10-04,14.335695
2019-10-05,14.033274
2019-10-06,13.741614
2019-10-07,13.461711
2019-10-08,13.186154
2019-10-09,12.927578
2019-10-10,12.690642
2019-10-11,12.464608
2019-10-12,12.25286
2019-10-13,12.055646
2019-10-14,11.87285
2019-10-15,11.695886
2019-10-16,11.53619
2019-10-17,11.397245
2019-10-18,11.267172
2019-10-19,11.14831
2019-10-20,11.03996
2019-10-21,10.941204
2019-10-22,10.842802
2019-10-23,10.755708
2019-10-24,10.683093
2019-10-25,10.61295
2019-10-26,10.547661
2019-10-27,10.486736
2019-10-28,10.429618
2019-10-29,10.367559
2019-10-30,10.31212
2019-10-31,10.267167
2019-11-01,10.22144
2019-11-02,10.178108
2019-11-03,10.13747
2019-11-04,10.099735
2019-11-05,10.056873
2019-11-06,10.021089
2019-11-07,9.9968
2019-11-08,9.973195
2019-11-09,9.953762
2019-11-10,9.938995
2019-11-11,9.929161
2019-11-12,9.91616
2019-11-13,9.911995
2019-11-14,9.92077
2019-11-15,9.931252
2019-11-16,9.9464245
2019-11-17,9.966209
2019-11-18,9.990254
2019-11-19,10.009821
2019-11-20,10.036273
2019-11-21,10.073102
2019-11-22,10.108508
2019-11-23,10.144978
2019-11-24,10.182021
2019-11-25,10.218977
2019-11-26,10.246911
2019-11-27,10.277118
2019-11-28,10.313141
2019-11-29,10.343366
2019-11-30,10.370583
2019-12-01,10.394725
2019-12-02,10.415657
2019-12-03,10.425059
2019-12-04,10.434912
2019-12-05,10.449497
2019-12-06,10.457968
2019-12-07,10.463886
2019-12-08,10.467941
2019-12-09,10.470714
2019-12-10,10.46454
2019-12-11,10.46197
2019-12-12,10.467762
2019-12-13,10.471422
2019-12-14,10.476748
2019-12-15,10.484526
2019-12-16,10.495294
2019-12-17,10.501208
2019-12-18,10.514509
2019-12-19,10.53951
2019-12-20,10.565165
2019-12-21,10.594616
2019-12-22,10.627911
2019-12-23,10.664791
2019-12-24,10.696576
2019-12-25,10.734651
2019-12-26,10.782484
