Date,flood runoff
2025-01-02,0.30958307
2025-01-03,0.32664734
2025-01-04,0.3165993
2025-01-05,0.2960829
2025-01-06,0.2869259
2025-01-07,0.2994568
2025-01-08,0.3241279
2025-01-09,0.31767282
2025-01-10,0.34697628
2025-01-11,0.3484806
2025-01-12,0.33847433
2025-01-13,0.33846903
2025-01-14,0.35852534
2025-01-15,0.38888314
2025-01-16,0.38612443
2025-01-17,0.41704667
2025-01-18,0.4180706
2025-01-19,0.40552846
2025-01-20,0.40103814
2025-01-21,0.41482493
2025-01-22,0.43734542
2025-01-23,0.42544302
2025-01-24,0.4462125
2025-01-25,0.43639818
2025-01-26,0.4126716
2025-01-27,0.39699522
2025-01-28,0.39993346
2025-01-29,0.41226643
2025-01-30,0.39113575
2025-01-31,0.4039003
2025-02-01,0.387527
2025-02-02,0.35886207
2025-02-03,0.3399906
2025-02-04,0.341544
2025-02-05,0.35431302
2025-02-06,0.3353938
2025-02-07,0.35204595
2025-02-08,0.34108707
2025-02-09,0.3191695
2025-02-10,0.3081461
2025-02-11,0.31838584
2025-02-12,0.34039488
2025-02-13,0.330972
2025-02-14,0.35707566
2025-02-15,0.35522822
2025-02-16,0.34180138
2025-02-17,0.33839065
2025-02-18,0.35513842
2025-02-19,0.38236177
2025-02-20,0.37671307
2025-02-21,0.4050515
2025-02-22,0.40384915
2025-02-23,0.38947803
2025-02-24,0.38358355
2025-02-25,0.39640576
2025-02-26,0.41840345
2025-02-27,0.40641016
2025-02-28,0.42749923
2025-03-01,0.41838348
2025-03-02,0.3956941
2025-03-03,0.38134617
2025-03-04,0.38585135
2025-03-05,0.3999337
2025-03-06,0.38067725
2025-03-07,0.3953839
2025-03-08,0.38096577
2025-03-09,0.35421845
2025-03-10,0.3371817
2025-03-11,0.34044856
2025-03-12,0.35477895
2025-03-13,0.33724654
2025-03-14,0.3550973
2025-03-15,0.34514385
2025-03-16,0.3240422
2025-03-17,0.31365678
2025-03-18,0.32437524
2025-03-19,0.34672862
2025-03-20,0.33754528
2025-03-21,0.36381692
2025-03-22,0.36210102
2025-03-23,0.34880486
2025-03-24,0.3455585
2025-03-25,0.3625363
2025-03-26,0.39008346
2025-03-27,0.3848754
2025-03-28,0.41378796
2025-03-29,0.41330323
2025-03-30,0.3997955
2025-03-31,0.39490476
2025-04-01,0.4088577
2025-04-02,0.43209207
2025-04-03,0.42141318
2025-04-04,0.44385988
2025-04-05,0.4361048
2025-04-06,0.41473478
2025-04-07,0.40161747
2025-04-08,0.40721554
2025-04-09,0.42220384
2025-04-10,0.4036187
2025-04-11,0.41871706
2025-04-12,0.4043707
2025-04-13,0.37734038
2025-04-14,0.359638
2025-04-15,0.36183664
2025-04-16,0.37468502
2025-04-17,0.35525504
2025-04-18,0.3708005
2025-04-19,0.35815185
2025-04-20,0.33399242
2025-04-21,0.3202233
2025-04-22,0.3272775
2025-04-23,0.345739
2025-04-24,0.33249605
2025-04-25,0.3546055
2025-04-26,0.3486941
2025-04-27,0.33124104
2025-04-28,0.32394937
2025-04-29,0.33706594
2025-04-30,0.3610061
2025-05-01,0.35251212
2025-05-02,0.37852144
2025-05-03,0.3755714
2025-05-04,0.36008397
2025-05-05,0.3537381
2025-05-06,0.3667901
2025-05-07,0.38969725
2025-05-08,0.3792739
2025-05-09,0.4025572
2025-05-10,0.39620748
2025-05-11,0.37678888
2025-05-12,0.36613625
