Date,daily runoff
2019-01-01,0.3433415
2019-01-02,0.35979828
2019-01-03,0.35847118
2019-01-04,0.3725323
2019-01-05,0.38159174
2019-01-06,0.3787303
2019-01-07,0.38884822
2019-01-08,0.37845266
2019-01-09,0.39268887
2019-01-10,0.39015266
2019-01-11,0.40394205
2019-01-12,0.41355804
2019-01-13,0.41194174
2019-01-14,0.42382783
2019-01-15,0.4155389
2019-01-16,0.43202263
2019-01-17,0.4316722
2019-01-18,0.44738474
2019-01-19,0.45846996
2019-01-20,0.45769405
2019-01-21,0.4696399
2019-01-22,0.4605069
2019-01-23,0.47515318
2019-01-24,0.47191957
2019-01-25,0.48369047
2019-01-26,0.48980343
2019-01-27,0.48309293
2019-01-28,0.48824877
2019-01-29,0.4716127
2019-01-30,0.47821662
2019-01-31,0.4666008
2019-02-01,0.46986878
2019-02-02,0.4675895
2019-02-03,0.45283365
2019-02-04,0.45052415
2019-02-05,0.42722487
2019-02-06,0.4281712
2019-02-07,0.41208124
2019-02-08,0.412204
2019-02-09,0.40821663
2019-02-10,0.3932557
2019-02-11,0.39226547
2019-02-12,0.37178454
2019-02-13,0.37697652
2019-02-14,0.36644235
2019-02-15,0.37327176
2019-02-16,0.3769442
2019-02-17,0.3703665
2019-02-18,0.3782269
2019-02-19,0.36678982
2019-02-20,0.38093463
2019-02-21,0.3789769
2019-02-22,0.39372852
2019-02-23,0.40440762
2019-02-24,0.40368435
2019-02-25,0.41604313
2019-02-26,0.40758386
2019-02-27,0.42306682
2019-02-28,0.42073792
2019-03-01,0.43339205
2019-03-02,0.44028434
2019-03-03,0.43417552
2019-03-04,0.43969238
2019-03-05,0.42312536
2019-03-06,0.42946815
2019-03-07,0.41723683
2019-03-08,0.41952527
2019-03-09,0.41590777
2019-03-10,0.39947495
2019-03-11,0.39518434
2019-03-12,0.36964795
2019-03-13,0.368162
2019-03-14,0.34951648
2019-03-15,0.34704188
2019-03-16,0.34050408
2019-03-17,0.32313398
2019-03-18,0.31997266
2019-03-19,0.29765615
2019-03-20,0.30144295
2019-03-21,0.2900243
2019-03-22,0.29657266
2019-03-23,0.3006405
2019-03-24,0.2951954
2019-03-25,0.30497253
2019-03-26,0.29626742
2019-03-27,0.31397364
2019-03-28,0.3164028
2019-03-29,0.33634436
2019-03-30,0.3529756
2019-03-31,0.35890764
2019-04-01,0.3785484
2019-04-02,0.37790567
2019-04-03,0.40163288
2019-04-04,0.40785733
2019-04-05,0.42924544
2019-04-06,0.44491687
2019-04-07,0.44749296
2019-04-08,0.46146005
2019-04-09,0.45297047
2019-04-10,0.46688506
2019-04-11,0.4615956
2019-04-12,0.47008282
2019-04-13,0.47182167
2019-04-14,0.45981994
2019-04-15,0.4589701
2019-04-16,0.43583885
2019-04-17,0.43569762
2019-04-18,0.41733253
2019-04-19,0.41409126
2019-04-20,0.40577713
2019-04-21,0.38567784
2019-04-22,0.37890866
2019-04-23,0.35219538
2019-04-24,0.35089943
2019-04-25,0.3338249
2019-04-26,0.3342644
2019-04-27,0.33189422
2019-04-28,0.3198063
2019-04-29,0.32285705
2019-04-30,0.30745715
2019-05-01,0.31860572
2019-05-02,0.31470782
2019-05-03,0.32863167
2019-05-04,0.33961633
2019-05-05,0.34031639
2019-05-06,0.35516372
2019-05-07,0.35016996
2019-05-08,0.36997265
2019-05-09,0.37266368
2019-05-10,0.39085618
2019-05-11,0.40360025
2019-05-12,0.40343353
2019-05-13,0.41474742
2019-05-14,0.40359095
2019-05-15,0.414717
2019-05-16,0.40640765
2019-05-17,0.41153637
2019-05-18,0.4094767
2019-05-19,0.39314413
2019-05-20,0.38735163
2019-05-21,0.3586018
2019-05-22,0.35212007
2019-05-23,0.32666683
2019-05-24,0.3155856
2019-05-25,0.29869834
2019-05-26,0.2693342
2019-05-27,0.2526727
2019-05-28,0.21552558
2019-05-29,0.20336016
2019-05-30,0.17510454
2019-05-31,0.16419037
2019-06-01,0.1504451
2019-06-02,0.1271203
2019-06-03,0.11923653
2019-06-04,0.09336914
2019-06-05,0.09467834
2019-06-06,0.08172256
2019-06-07,0.08751155
2019-06-08,0.09141051
2019-06-09,0.08618121
2019-06-10,0.09634094
2019-06-11,0.0879623
2019-06-12,0.1057177
2019-06-13,0.107706495
2019-06-14,0.12652117
2019-06-15,0.14116329
2019-06-16,0.14409493
2019-06-17,0.15960617
2019-06-18,0.15362121
2019-06-19,0.17074691
2019-06-20,0.16910163
2019-06-21,0.18138064
2019-06-22,0.18676879
2019-06-23,0.17798634
2019-06-24,0.17964853
2019-06-25,0.15806203
2019-06-26,0.15826191
2019-06-27,0.13882765
2019-06-28,0.13293473
2019-06-29,0.12025277
2019-06-30,0.093976974
2019-07-01,0.079173334
2019-07-02,0.0425615
2019-07-03,0.029539376
2019-07-04,0.0010118966
2019-07-05,0.015685443
2019-07-06,0.034657456
2019-07-07,0.06466053
2019-07-08,0.08064059
2019-07-09,0.11597369
2019-07-10,0.12543842
2019-07-11,0.15040553
2019-07-12,0.15778764
2019-07-13,0.16813809
2019-07-14,0.18861254
2019-07-15,0.19461253
2019-07-16,0.21998794
2019-07-17,0.21999419
2019-07-18,0.23646654
2019-07-19,0.23675455
2019-07-20,0.24180639
2019-07-21,0.25911707
2019-07-22,0.26435998
2019-07-23,0.29157934
2019-07-24,0.2961396
2019-07-25,0.31989413
2019-07-26,0.33011732
2019-07-27,0.34758866
2019-07-28,0.3795438
2019-07-29,0.4013119
2019-07-30,0.44651607
2019-07-31,0.4700336
2019-08-01,0.51317745
2019-08-02,0.5426429
2019-08-03,0.5786077
2019-08-04,0.6277003
2019-08-05,0.6646544
2019-08-06,0.7225273
2019-08-07,0.75567687
2019-08-08,0.8049592
2019-08-09,0.8366898
2019-08-10,0.8707564
2019-08-11,0.9135979
2019-08-12,0.93986636
2019-08-13,0.98265064
2019-08-14,0.99645525
2019-08-15,1.0223969
2019-08-16,1.0271611
2019-08-17,1.0311085
2019-08-18,1.0412422
2019-08-19,1.0328587
2019-08-20,1.0397545
2019-08-21,1.0171893
2019-08-22,1.0070628
2019-08-23,0.9768534
2019-08-24,0.94770205
2019-08-25,0.9273616
2019-08-26,0.8918271
2019-08-27,0.8755249
2019-08-28,0.8342579
2019-08-29,0.8103694
2019-08-30,0.77166754
2019-08-31,0.73950183
2019-09-01,0.7217047
2019-09-02,0.69421935
2019-09-03,0.69128907
2019-09-04,0.6684065
2019-09-05,0.6674837
2019-09-06,0.6557874
2019-09-07,0.65402806
2019-09-08,0.6693169
2019-09-09,0.6768114
2019-09-10,0.709924
2019-09-11,0.7232915
2019-09-12,0.7579665
