Date,weekly runoff
2025-01-19,28.935047
2025-01-20,28.840195
2025-01-21,28.845543
2025-01-22,28.82829
2025-01-23,28.858213
2025-01-24,28.84405
2025-01-25,28.833946
2025-01-26,28.875368
2025-01-27,28.82965
2025-01-28,28.878717
2025-01-29,28.898403
2025-01-30,28.957266
2025-01-31,28.963009
2025-02-01,28.962944
2025-02-02,29.003948
2025-02-03,28.94702
2025-02-04,28.974012
2025-02-05,28.96096
2025-02-06,28.976898
2025-02-07,28.930264
2025-02-08,28.869354
2025-02-09,28.842258
2025-02-10,28.711372
2025-02-11,28.66012
2025-02-12,28.566229
2025-02-13,28.50051
2025-02-14,28.373215
2025-02-15,28.23446
2025-02-16,28.134092
2025-02-17,27.936182
2025-02-18,27.825697
2025-02-19,27.68173
2025-02-20,27.57626
2025-02-21,27.420473
2025-02-22,27.265165
2025-02-23,27.160603
2025-02-24,26.970985
2025-02-25,26.881138
2025-02-26,26.769735
2025-02-27,26.70808
2025-02-28,26.606436
2025-03-01,26.514456
2025-03-02,26.481077
2025-03-03,26.369026
2025-03-04,26.361517
2025-03-05,26.335567
2025-03-06,26.360764
2025-03-07,26.345675
2025-03-08,26.33831
2025-03-09,26.386045
2025-03-10,26.350174
2025-03-11,26.412642
2025-03-12,26.449366
2025-03-13,26.529062
2025-03-14,26.559643
2025-03-15,26.588697
2025-03-16,26.663416
2025-03-17,26.645153
2025-03-18,26.716137
2025-03-19,26.75279
2025-03-20,26.82451
2025-03-21,26.840078
2025-03-22,26.848078
2025-03-23,26.896816
2025-03-24,26.84883
2025-03-25,26.887568
2025-03-26,26.890676
2025-03-27,26.928757
2025-03-28,26.911713
2025-03-29,26.889174
2025-03-30,26.91036
2025-03-31,26.83858
2025-04-01,26.857899
2025-04-02,26.846405
2025-04-03,26.874952
2025-04-04,26.853533
2025-04-05,26.831667
2025-04-06,26.85831
2025-04-07,26.79635
2025-04-08,26.829296
2025-04-09,26.834566
2025-04-10,26.882256
2025-04-11,26.881536
2025-04-12,26.88109
2025-04-13,26.929018
2025-04-14,26.88739
2025-04-15,26.93895
2025-04-16,26.960428
2025-04-17,27.021347
2025-04-18,27.030415
2025-04-19,27.03599
2025-04-20,27.086006
2025-04-21,27.042501
2025-04-22,27.088348
2025-04-23,27.100557
2025-04-24,27.149054
2025-04-25,27.14308
2025-04-26,27.131634
2025-04-27,27.163355
2025-04-28,27.10106
2025-04-29,27.128428
2025-04-30,27.12326
2025-05-01,27.15627
2025-05-02,27.137413
2025-05-03,27.116335
2025-05-04,27.142216
2025-05-05,27.07828
2025-05-06,27.108475
2025-05-07,27.110727
2025-05-08,27.155693
2025-05-09,27.153131
2025-05-10,27.1523
2025-05-11,27.20185
2025-05-12,27.164337
2025-05-13,27.22291
2025-05-14,27.25459
2025-05-15,27.329056
2025-05-16,27.355026
2025-05-17,27.380713
2025-05-18,27.453732
2025-05-19,27.435638
2025-05-20,27.508661
2025-05-21,27.549015
2025-05-22,27.6257
2025-05-23,27.64692
2025-05-24,27.66055
2025-05-25,27.71407
2025-05-26,27.669104
