Date,daily runoff
2025-01-04,1.01017
2025-01-05,0.9940685
2025-01-06,0.9512376
2025-01-07,0.94887483
2025-01-08,0.9686302
2025-01-09,0.93605906
2025-01-10,0.92175096
2025-01-11,0.8960699
2025-01-12,0.8906147
2025-01-13,0.85883343
2025-01-14,0.8677593
2025-01-15,0.8988695
2025-01-16,0.87754226
2025-01-17,0.8741898
2025-01-18,0.8590029
2025-01-19,0.8634151
2025-01-20,0.8407216
2025-01-21,0.8578175
2025-01-22,0.89606124
2025-01-23,0.8807333
2025-01-24,0.8821719
2025-01-25,0.87051916
2025-01-26,0.8771861
2025-01-27,0.85547185
2025-01-28,0.87230253
2025-01-29,0.9090927
2025-01-30,0.89120334
2025-01-31,0.88907534
2025-02-01,0.8729732
2025-02-02,0.87444705
2025-02-03,0.8469486
2025-02-04,0.85756624
2025-02-05,0.8878831
2025-02-06,0.8634309
2025-02-07,0.8548194
2025-02-08,0.83247644
2025-02-09,0.82810634
2025-02-10,0.7953027
2025-02-11,0.80127966
2025-02-12,0.8277285
2025-02-13,0.80026823
2025-02-14,0.7895739
2025-02-15,0.76611584
2025-02-16,0.76161677
2025-02-17,0.72966516
2025-02-18,0.7374472
2025-02-19,0.76660365
2025-02-20,0.74268323
2025-02-21,0.7362722
2025-02-22,0.71773636
2025-02-23,0.718681
2025-02-24,0.69256717
2025-02-25,0.7064471
2025-02-26,0.74182445
2025-02-27,0.7241105
2025-02-28,0.7237579
2025-03-01,0.7110051
2025-03-02,0.7173395
2025-03-03,0.6961165
2025-03-04,0.7142967
2025-03-05,0.7533084
2025-03-06,0.7385056
2025-03-07,0.7403018
2025-03-08,0.72891533
2025-03-09,0.7358332
2025-03-10,0.7144285
2025-03-11,0.7316976
2025-03-12,0.76912105
2025-03-13,0.7521195
2025-03-14,0.75118595
2025-03-15,0.7366292
2025-03-16,0.74003357
2025-03-17,0.7148757
2025-03-18,0.7282577
2025-03-19,0.7617658
2025-03-20,0.7409235
2025-03-21,0.7363221
2025-03-22,0.7183604
2025-03-23,0.7187041
2025-03-24,0.6908994
2025-03-25,0.7021057
2025-03-26,0.73395294
2025-03-27,0.7119943
2025-03-28,0.7068358
2025-03-29,0.6888769
2025-03-30,0.68977034
2025-03-31,0.6630359
2025-04-01,0.6757951
2025-04-02,0.70962936
2025-04-03,0.6900346
2025-04-04,0.687553
2025-04-05,0.6725149
2025-04-06,0.6765009
2025-04-07,0.6529583
2025-04-08,0.6689368
2025-04-09,0.70594925
2025-04-10,0.68942785
2025-04-11,0.68985695
2025-04-12,0.67751735
2025-04-13,0.6839483
2025-04-14,0.6625653
2025-04-15,0.6803963
2025-04-16,0.7189426
2025-04-17,0.70363426
2025-04-18,0.7049636
2025-04-19,0.69322765
2025-04-20,0.69999015
2025-04-21,0.6786975
2025-04-22,0.696414
2025-04-23,0.73468083
2025-04-24,0.7189706
2025-04-25,0.7198187
2025-04-26,0.70756435
2025-04-27,0.71381104
2025-04-28,0.6920412
2025-04-29,0.70935005
2025-04-30,0.74730337
2025-05-01,0.7313917
2025-05-02,0.7321604
2025-05-03,0.7199508
2025-05-04,0.7263604
2025-05-05,0.70485765
2025-05-06,0.7225163
2025-05-07,0.76087415
2025-05-08,0.7453876
2025-05-09,0.7465634
2025-05-10,0.7347007
2025-05-11,0.7413531
2025-05-12,0.7199447
2025-05-13,0.7375063
2025-05-14,0.7755354
2025-05-15,0.75945276
2025-05-16,0.75973535
2025-05-17,0.74666005
2025-05-18,0.7517665
2025-05-19,0.72847486
2025-05-20,0.7438219
2025-05-21,0.7793222
2025-05-22,0.7604248
2025-05-23,0.757646
2025-05-24,0.74131304
2025-05-25,0.7430258
2025-05-26,0.7162739
