Date,flood runoff
2025-01-02,0.602942
2025-01-03,0.6128764
2025-01-04,0.5875384
2025-01-05,0.6224247
2025-01-06,0.5881981
2025-01-07,0.620491
2025-01-08,0.6247907
2025-01-09,0.5603362
2025-01-10,0.56660295
2025-01-11,0.53921247
2025-01-12,0.57371765
2025-01-13,0.54078335
2025-01-14,0.5759904
2025-01-15,0.58472234
2025-01-16,0.52606666
2025-01-17,0.5393039
2025-01-18,0.519824
2025-01-19,0.5629193
2025-01-20,0.5389734
2025-01-21,0.58327436
2025-01-22,0.6009111
2025-01-23,0.55068356
2025-01-24,0.5716017
2025-01-25,0.5588099
2025-01-26,0.60738814
2025-01-27,0.5875471
2025-01-28,0.6344478
2025-01-29,0.6531005
2025-01-30,0.60227853
2025-01-31,0.6210173
2025-02-01,0.60453796
2025-02-02,0.64804596
2025-02-03,0.621922
2025-02-04,0.66153586
2025-02-05,0.67213887
2025-02-06,0.6127694
2025-02-07,0.6227439
2025-02-08,0.5975704
2025-02-09,0.6327388
2025-02-10,0.5989019
2025-02-11,0.6316805
2025-02-12,0.636548
2025-02-13,0.5727282
2025-02-14,0.57968056
2025-02-15,0.55300915
2025-02-16,0.5882492
2025-02-17,0.5560472
2025-02-18,0.59196585
2025-02-19,0.6013705
2025-02-20,0.5433305
2025-02-21,0.557109
2025-02-22,0.5380789
2025-02-23,0.5815163
2025-02-24,0.5577896
2025-02-25,0.6021728
2025-02-26,0.6197419
2025-02-27,0.5692858
2025-02-28,0.58980507
2025-03-01,0.5764368
2025-03-02,0.6242563
2025-03-03,0.6034721
2025-03-04,0.649246
2025-03-05,0.66659266
2025-03-06,0.614293
2025-03-07,0.6313941
2025-03-08,0.6131328
2025-03-09,0.6547339
2025-03-10,0.62660193
2025-03-11,0.6641342
2025-03-12,0.6726137
2025-03-13,0.6111135
2025-03-14,0.6189878
2025-03-15,0.59178513
2025-03-16,0.6250373
2025-03-17,0.58944017
2025-03-18,0.62065715
2025-03-19,0.62420374
2025-03-20,0.5593433
2025-03-21,0.5655715
2025-03-22,0.53852457
2025-03-23,0.573764
2025-03-24,0.54195625
2025-03-25,0.578676
2025-03-26,0.5892926
2025-03-27,0.53287005
2025-03-28,0.5486565
2025-03-29,0.5320002
2025-03-30,0.5781425
2025-03-31,0.55740756
2025-04-01,0.6050158
2025-04-02,0.6259818
2025-04-03,0.5790251
2025-04-04,0.6030715
2025-04-05,0.5931788
2025-04-06,0.6443403
2025-04-07,0.62668204
2025-04-08,0.67528456
2025-04-09,0.69508505
2025-04-10,0.64479244
2025-04-11,0.6633897
2025-04-12,0.64605904
2025-04-13,0.6879828
2025-04-14,0.6595359
2025-04-15,0.69610053
2025-04-16,0.7029604
2025-04-17,0.6392052
2025-04-18,0.6442223
2025-04-19,0.6136095
2025-04-20,0.6429632
2025-04-21,0.6030583
2025-04-22,0.6296503
2025-04-23,0.62835723
2025-04-24,0.558554
2025-04-25,0.5598536
2025-04-26,0.5280125
2025-04-27,0.5587127
2025-04-28,0.5227379
2025-04-29,0.5557738
2025-04-30,0.5632909
2025-05-01,0.5044422
2025-05-02,0.51855004
2025-05-03,0.50101876
2025-05-04,0.5471268
2025-05-05,0.52721417
2025-05-06,0.5764953
2025-05-07,0.59995645
2025-05-08,0.5562667
2025-05-09,0.5842803
2025-05-10,0.57896346
2025-05-11,0.6352002
2025-05-12,0.6229922
2025-05-13,0.67728335
2025-05-14,0.70286566
2025-05-15,0.65829784
2025-05-16,0.6824121
2025-05-17,0.67024297
2025-05-18,0.71683276
2025-05-19,0.6924279
2025-05-20,0.7322971
2025-05-21,0.74162954
2025-05-22,0.67944217
2025-05-23,0.6850732
2025-05-24,0.6540978
2025-05-25,0.682116
2025-05-26,0.6399337
